"Success", "Success", "0000", "The SCP has successfully stored the exported SOP Instance. A message is sent to the QUERY-RETRIEVE-SCP AE indicating successful export. The QUERY-RETRIEVE-SCP AE will send the appropriate PENDING or SUCCESS Status in the C-MOVE Response. Success indication message is output to the Service Logs. No message is posted to the User Interface."
"Refused", "Out of Resources", "A700 - A7FF", "This is treated as a permanent Failure. A message is sent to the QUERY-RETRIEVE-SCP AE indicating an export failure and the Association is released. The QUERY-RETRIEVE-SCP AE will send an appropriate Status in the C-MOVE Response. Error indication message is output to the Service Logs. No message is posted to the User Interface."
"Error", "Data Set does not match SOP Class", "A900 - A9FF", "This is treated as a permanent Failure. A message is sent to the QUERY-RETRIEVE-SCP AE indicating an export failure and the Association is released. The QUERY-RETRIEVE-SCP AE will send an appropriate Status in the C-MOVE Response. Error indication message is output to the Service Logs. No message is posted to the User Interface."
"Error", "Cannot Understand", "C000 - CFFF", "This is treated as a permanent Failure. A message is sent to the QUERY-RETRIEVE-SCP AE indicating an export failure and the Association is released. The QUERY-RETRIEVE-SCP AE will send an appropriate Status in the C-MOVE Response. Error indication message is output to the Service Logs. No message is posted to the User Interface."
"Warning", "Coercion of Data Elements", "B000", "Image transmission is considered successful. A message is sent to the QUERY-RETRIEVE-SCP AE indicating successful export. The QUERY-RETRIEVE-SCP AE will send the appropriate PENDING or SUCCESS Status in the C-MOVE Response. Warning indication message is output to the Service Logs. No message is posted to the User Interface."
"Warning", "Data Set does not match SOP Class", "B007", "Image transmission is considered successful. A message is sent to the QUERY-RETRIEVE-SCP AE indicating successful export. The QUERY-RETRIEVE-SCP AE will send the appropriate PENDING or SUCCESS Status in the C-MOVE Response. Warning indication message is output to the Service Logs. No message is posted to the User Interface."
"Warning", "Elements Discarded", "B006", "Image transmission is considered successful. A message is sent to the QUERY-RETRIEVE-SCP AE indicating successful export. The QUERY-RETRIEVE-SCP AE will send the appropriate PENDING or SUCCESS Status in the C-MOVE Response. Warning indication message is output to the Service Logs. No message is posted to the User Interface."
"Warning", "Attribute List Error", "0107", "Image transmission is considered successful. A message is sent to the QUERY-RETRIEVE-SCP AE indicating successful export. The QUERY-RETRIEVE-SCP AE will send the appropriate PENDING or SUCCESS Status in the C-MOVE Response. Warning indication message is output to the Service Logs. No message is posted to the User Interface."
"Warning", "Attribute Value Out of Range", "0116", "Image transmission is considered successful. A message is sent to the QUERY-RETRIEVE-SCP AE indicating successful export. The QUERY-RETRIEVE-SCP AE will send the appropriate PENDING or SUCCESS Status in the C-MOVE Response. Warning indication message is output to the Service Logs. No message is posted to the User Interface."
"*", "*", "Any other status code.", "This is treated as a permanent Failure. A message is sent to the QUERY-RETRIEVE-SCP AE indicating an export failure and the Association is released. The QUERY-RETRIEVE-SCP AE will send an appropriate Status in the C-MOVE Response. Error indication message is output to the Service Logs. No message is posted to the User Interface."
